level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
54,13.27951369125,0.002527749952045269,2.818491573711885e-06,0.0,0.0,1.899401787688509e-39,6.912158004038775e-39,13.280401188125,0.0025295277654659005,3.185443796398346e-06,0.0,0.0,2.0490220807121632e-39,6.247427963943002e-39,13.284698986875,0.0025331880018347875,3.071051062905848e-06,0.0,0.0,1.639467958475845e-39,5.899459683749765e-39
55,12.625848433125,0.0025278136414708567,3.128772470200306e-06,0.0,0.0,2.7236423917630813e-38,9.922108733189257e-38,12.626716355000001,0.0025296316243475303,3.4637083062800785e-06,0.0,0.0,2.932799215225188e-38,8.842018525689389e-38,12.63092763,0.0025332108829170465,3.1994462579118363e-06,0.0,0.0,2.3291878383052849e-38,8.402231158892418e-38
56,11.995497151250001,0.002527864288073033,3.557342632222736e-06,0.0,0.0,3.9032826186027136e-37,1.4243161538022983e-36,11.996342355625,0.0025297485453775154,3.7053334235068193e-06,0.0,0.0,4.194792553112529e-37,1.2524023407375949e-36,12.000467167499998,0.0025332453198498115,3.356803488017271e-06,0.0,0.0,3.311194103036202e-37,1.1985733530302755e-36
57,11.387952885625,0.002527940057683736,4.043399890109776e-06,0.0,0.0,5.588876270858582e-36,2.0433721455205956e-35,11.38877309875,0.002529902232810855,4.054206689264902e-06,0.0,0.0,5.993800328777563e-36,1.7745433003741047e-35,11.392809436875,0.0025333175830310212,3.557157696224405e-06,0.0,0.0,4.708019280784605e-36,1.710921950273446e-35
58,10.802711681875,0.0025280593233183027,4.489247328269503e-06,0.0,0.0,7.992731016492092e-35,2.928153231920747e-34,10.803503271875,0.0025300979065941646,4.521142258866328e-06,0.0,0.0,8.553301996013465e-35,2.5143955004415955e-34,10.807449284999999,0.0025334381385473535,3.871062082545372e-06,0.0,0.0,6.692281741351253e-35,2.4421288146231383e-34
59,10.239274669999999,0.002528304496197961,5.1540996916730305e-06,0.0,0.0,1.1412551164542865e-33,4.1889302863949955e-33,10.24003365125,0.002530394238885492,5.123892816861131e-06,0.0,0.0,1.2186228977462303e-33,3.561551913827853e-33,10.243887358125,0.002533584667602554,4.358199980436622e-06,0.0,0.0,9.50567727919053e-34,3.483007376959588e-33
60,9.697145138125,0.002528808709583245,6.285898736624593e-06,0.0,0.0,1.6263706680020508e-32,5.979234995538163e-32,9.6978648878125,0.0025307907906826584,5.930571418498765e-06,0.0,0.0,1.7328318023809286e-32,5.041392065745453e-32,9.7016280209375,0.002533762315288186,5.083515487250162e-06,0.0,0.0,1.3484972261232353e-32,4.960119931496765e-32
61,9.1758330415625,0.0025298983614193277,8.200981009295878e-06,0.0,0.0,2.3121952583993387e-31,8.511721506986288e-31,9.176507735,0.002531461917911656,7.34139770977164e-06,0.0,0.0,2.4583329619858946e-31,7.128320831182042e-31,9.1801786296875,0.002534137113718316,6.34270875515769e-06,0.0,0.0,1.9097297943574084e-31,7.049204111242004e-31
62,8.674864765625,0.0025327516697579997,1.2023219590655897e-05,0.0,0.0,3.278195233883219e-30,1.2080509916102356e-29,8.6754832040625,0.0025332659110426903,1.0095269815291567e-05,0.0,0.0,3.478274570581414e-30,1.006500987659943e-29,8.679060430625,0.002535261220880784,9.223614119506873e-06,0.0,0.0,2.6986610778706287e-30,9.993114306345994e-30
63,8.193832593125,0.0025423860411392524,2.059450296767757e-05,0.0,0.0,4.633109491795848e-29,1.708802754379944e-28,8.1943761678125,0.002539810571121052,1.6249150123180237e-05,0.0,0.0,4.9061231209124474e-29,1.4186393397384001e-28,8.1978497965625,0.0025401710105361418,1.672192526133927e-05,0.0,0.0,3.803216941552942e-29,1.412087749266097e-28
64,7.7325215421874995,0.0025751036810688676,3.782058612764868e-05,0.0,0.0,6.525489431286445e-28,2.4087010103417682e-27,7.733002511874999,0.0025668746881419794,3.0450556373192975e-05,0.0,0.0,6.897840422119992e-28,1.995248199709131e-27,7.736375518125,0.0025611096218926834,3.324258868120556e-05,0.0,0.0,5.344762670640509e-28,1.9897105833742788e-27
65,7.290971664375,0.0026552635089028627,6.12027630179859e-05,0.0,0.0,9.14857127381295e-27,3.3777670984141467e-26,7.2915527840625005,0.002643967597396113,5.458077894535515e-05,0.0,0.0,9.663908255425657e-27,2.7957498740459914e-26,7.2948011690625005,0.0026234154343837872,6.239354386063002e-05,0.0,0.0,7.481978266316065e-27,2.7917774213765473e-26
66,6.868877485625,0.0027668350749881936,9.763790853692752e-05,0.0,0.0,1.2718704227135066e-25,4.696164605589774e-25,6.869820211875,0.0027514830350410194,8.762738041083858e-05,0.0,0.0,1.3425905874506603e-25,3.8834597624658746e-25,6.87290767125,0.0027222866780357434,9.779589438771385e-05,0.0,0.0,1.038361986902103e-25,3.879021086772915e-25
67,6.4652883415625,0.0028596293900627645,0.00012649689241839133,0.0,0.0,1.746627725793906e-24,6.442060031874875e-24,6.4667641753125,0.002831021914607845,0.00012112533430232737,0.0,0.0,1.8416514123361692e-24,5.321892882742361e-24,6.469629814687501,0.002807348665432073,0.00012940528095529657,0.0,0.0,1.4230712433904978e-24,5.31323214880989e-24
68,6.0792663090625,0.0029194884783355518,0.0001529426343866564,0.0,0.0,2.365193220462399e-23,8.70436584187459e-23,6.0813048775,0.002864835955318995,0.0001407158117300637,0.0,0.0,2.4903418986694105e-23,7.180017635337508e-23,6.083899338125,0.0028550431123003364,0.00016057326580990017,0.0,0.0,1.9237193878073706e-23,7.169326026943399e-23
69,5.7101466846874995,0.002947352434741333,0.0001635632738409103,0.0,0.0,3.154044938470348e-22,1.1563309010526962e-21,5.7127039203125,0.0028587078822311014,0.0001489666220380683,0.0,0.0,3.316591250253539e-22,9.525725336091245e-22,5.7150106796875,0.0028734532507369297,0.0001920970620807296,0.0,0.0,2.561200820024799e-22,9.509546070885197e-22
