pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s
9.83449518e-01,1.62865999e+02,2.24616937e+09,8.98467749e+09,5.61542343e+10,2.24616937e+11,1.77233657e+03,7.08934629e+03,4.43084143e+04,1.77233657e+05
1.00103169e+00,1.63692663e+02,1.86317102e+09,7.45268406e+09,4.65792754e+10,1.86317102e+11,1.58335476e+03,6.33341905e+03,3.95838690e+04,1.58335476e+05
1.01892819e+00,1.64523523e+02,1.54699829e+09,6.18799315e+09,3.86749572e+10,1.54699829e+11,1.41541744e+03,5.66166975e+03,3.53854359e+04,1.41541744e+05
1.03714464e+00,1.65358600e+02,1.28573565e+09,5.14294258e+09,3.21433912e+10,1.28573565e+11,1.26608756e+03,5.06435024e+03,3.16521890e+04,1.26608756e+05
1.05568678e+00,1.66197916e+02,1.06963629e+09,4.27854517e+09,2.67409073e+10,1.06963629e+11,1.13322058e+03,4.53288233e+03,2.83305146e+04,1.13322058e+05
1.07456041e+00,1.67041491e+02,8.90719654e+08,3.56287862e+09,2.22679914e+10,8.90719654e+10,1.01492817e+03,4.05971269e+03,2.53732043e+04,1.01492817e+05
1.09377146e+00,1.67889349e+02,7.42444983e+08,2.96977993e+09,1.85611246e+10,7.42444983e+10,9.09546567e+02,3.63818627e+03,2.27386642e+04,9.09546567e+04
1.11332597e+00,1.68741510e+02,6.19446412e+08,2.47778565e+09,1.54861603e+10,6.19446412e+10,8.15608965e+02,3.26243586e+03,2.03902241e+04,8.15608965e+04
1.13323007e+00,1.69597997e+02,5.17317689e+08,2.06927075e+09,1.29329422e+10,5.17317689e+10,7.31821411e+02,2.92728564e+03,1.82955353e+04,7.31821411e+04
1.15349003e+00,1.70458831e+02,4.32437099e+08,1.72974840e+09,1.08109275e+10,4.32437099e+10,6.57041737e+02,2.62816695e+03,1.64260434e+04,6.57041737e+04
1.17411219e+00,1.71324034e+02,3.61824951e+08,1.44729980e+09,9.04562377e+09,3.61824951e+10,5.90261142e+02,2.36104457e+03,1.47565285e+04,5.90261142e+04
1.19510303e+00,1.72193628e+02,3.03027440e+08,1.21210976e+09,7.57568601e+09,3.03027440e+10,5.30588078e+02,2.12235231e+03,1.32647020e+04,5.30588078e+04
1.21646916e+00,1.73067637e+02,2.54021936e+08,1.01608775e+09,6.35054841e+09,2.54021936e+10,4.77234154e+02,1.90893662e+03,1.19308539e+04,4.77234154e+04
1.23821726e+00,1.73946082e+02,2.13139654e+08,8.52558618e+08,5.32849136e+09,2.13139654e+10,4.29501777e+02,1.71800711e+03,1.07375444e+04,4.29501777e+04
1.26035418e+00,1.74828985e+02,1.79002470e+08,7.16009879e+08,4.47506174e+09,1.79002470e+10,3.86773332e+02,1.54709333e+03,9.66933330e+03,3.86773332e+04
1.28288687e+00,1.75716370e+02,1.50471237e+08,6.01884947e+08,3.76178092e+09,1.50471237e+10,3.48501686e+02,1.39400674e+03,8.71254216e+03,3.48501686e+04
