pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
5.15673224e-01,1.33212196e+02,8.80829992e+12,3.52331997e+13,2.20207498e+14,8.80829992e+14,3.74205216e+05,1.49682086e+06,9.35513041e+06,3.74205216e+07,4.65125468e+00,2.99797366e+02,3.14825603e+07
5.27725435e-01,1.34094414e+02,6.52544210e+12,2.61017684e+13,1.63136053e+14,6.52544210e+14,3.11581175e+05,1.24632470e+06,7.78952937e+06,3.11581175e+07,4.34263866e+00,5.12531000e+02,2.36896909e+08
5.40059328e-01,1.34982474e+02,4.84410549e+12,1.93764220e+13,1.21102637e+14,4.84410549e+14,2.59777603e+05,1.03911041e+06,6.49444007e+06,2.59777603e+07,4.04897402e+00,9.41006661e+02,nan
5.52681486e-01,1.35876416e+02,3.60327344e+12,1.44130937e+13,9.00818359e+13,3.60327344e+14,2.16869050e+05,8.67476199e+05,5.42172624e+06,2.16869050e+07,3.76980508e+00,1.83525500e+03,nan
5.65598646e-01,1.36776278e+02,2.68568476e+12,1.07427390e+13,6.71421191e+13,2.68568476e+14,1.81282176e+05,7.25128704e+05,4.53205440e+06,1.81282176e+07,3.50469323e+00,3.80083823e+03,nan
5.78817704e-01,1.37682100e+02,2.00577071e+12,8.02308285e+12,5.01442678e+13,2.00577071e+14,1.51729699e+05,6.06918796e+05,3.79324248e+06,1.51729699e+07,3.25321214e+00,8.53746005e+03,nan
5.92345715e-01,1.38593920e+02,1.50096394e+12,6.00385576e+12,3.75240985e+13,1.50096394e+14,1.27157031e+05,5.08628124e+05,3.17892578e+06,1.27157031e+07,3.01494052e+00,2.13460695e+04,nan
6.06189899e-01,1.39511779e+02,1.12542427e+12,4.50169709e+12,2.81356068e+13,1.12542427e+14,1.06699112e+05,4.26796449e+05,2.66747781e+06,1.06699112e+07,2.78945639e+00,6.05268404e+04,nan
6.20357648e-01,1.40435717e+02,8.45500180e+11,3.38200072e+12,2.11375045e+13,8.45500180e+13,8.96454507e+04,3.58581803e+05,2.24113627e+06,8.96454507e+06,2.57633571e+00,2.01353069e+05,nan
6.34856522e-01,1.41365774e+02,6.36439223e+11,2.54575689e+12,1.59109806e+13,6.36439223e+13,7.54117687e+04,3.01647075e+05,1.88529422e+06,7.54117687e+06,2.37515241e+00,7.99181839e+05,nan
6.49694260e-01,1.42301990e+02,4.79999087e+11,1.91999635e+12,1.19999772e+13,4.79999087e+13,6.35169809e+04,2.54067923e+05,1.58792452e+06,6.35169809e+06,2.18547893e+00,3.61269683e+06,nan
6.64878784e-01,1.43244406e+02,3.62709223e+11,1.45083689e+12,9.06773059e+12,3.62709223e+13,5.35644762e+04,2.14257905e+05,1.33911191e+06,5.35644762e+06,2.00689132e+00,1.57537337e+07,nan
6.80418197e-01,1.44193064e+02,2.74603463e+11,1.09841385e+12,6.86508657e+12,2.74603463e+13,4.52268818e+04,1.80907527e+05,1.13067204e+06,4.52268818e+06,1.83897793e+00,4.97725728e+07,nan
