level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std,-nu-10.0_pressure_bar,-nu-10.0_theta_mean,-nu-10.0_theta_std,-nu-50.0_pressure_bar,-nu-50.0_theta_mean,-nu-50.0_theta_std,-nu-100.0_pressure_bar,-nu-100.0_theta_mean,-nu-100.0_theta_std
73,4.041312438125,159.4540751953125,0.08450536716244084,4.049958179375,159.62651377105712,0.10711478861423433,4.05435437296875,159.7053471069336,0.10616862649301391,5.06041235640625,169.82828914642334,0.23072054440740197,8.448090484375001,225.01463619232177,0.11318851336262824,11.273102433124999,265.994413772583,0.07366595099338931
74,3.76285888734375,159.44156246185304,0.07639432898592466,3.77151956421875,159.61775758361816,0.09864938874237969,3.77579776078125,159.7032294845581,0.11109196758848568,4.74997567578125,169.56598265838622,0.1712362420016298,8.10739933,226.06757639312744,0.11443347203887606,10.917164,267.6863176727295,0.07452542195981765
75,3.49841418828125,159.43107266235353,0.0732831441658809,3.5070589325,159.61173933410643,0.09480029559444153,3.51122650546875,159.70443824005127,0.11790135885751597,4.4535196796875,169.38283436584473,0.15288495165102733,7.7786821703125,227.1181840057373,0.11592009602853898,10.5724240625,269.41402793884276,0.07539491337937657
76,3.24753297578125,159.42284214019776,0.07371745644337192,3.25613448109375,159.60862706756592,0.09546747240909156,3.2601952159375,159.70765676116943,0.12375538288513023,4.170780194843751,169.2485392150879,0.14543470715296844,7.461622946562501,228.16540408325196,0.11725843735950445,10.23840434375,271.17028164672854,0.0762478259499198
77,3.0097805271875004,159.4162216949463,0.07469618133215868,3.01831504640625,159.60726993560792,0.09927105074953836,3.0222714357812497,159.71118894958497,0.12784541308874728,3.9013348025,169.16489697265624,0.11843762245215142,7.1558631653125,229.22659994506836,0.11843010237302111,9.914680593749999,272.955743347168,0.07706100075300076
78,2.7847321026562497,159.41096186065673,0.07521671239460272,2.7931769409375,159.6061432647705,0.1041032045715008,2.797030901875,159.71436766815185,0.13057523320273753,3.64469154359375,169.12264543151855,0.08645892419611832,6.86097615375,230.3238494873047,0.11946788012448012,9.60085246875,274.7737978363037,0.07783768794519205
79,2.57196899484375,159.40657293701173,0.07749048803738645,2.580303653671875,159.6057512283325,0.10731096961468645,2.584056073359375,159.71746482849122,0.1326562538382995,3.400395224375,169.10201805877685,0.06817472394084284,6.5765191228125,231.45961181640624,0.12053729923681936,9.296543749687501,276.62448056030274,0.07858961425288111
80,2.37107852421875,159.4029735183716,0.08219910262974224,2.379284920390625,159.6068494949341,0.11111545008508417,2.38293595625,159.72034654235839,0.13392441029898308,3.16804537421875,169.09080611419677,0.05734171330655488,6.3020978506250005,232.62422271728516,0.1217215958664361,9.00141078125,278.5052892303467,0.07931642524888652
81,2.181654120546875,159.39864740753174,0.08477488514590512,2.189715206015625,159.6100040588379,0.11848970114036135,2.193263076640625,159.72337716674804,0.13486795467425572,2.9472720012499996,169.0837742843628,0.051365139880787856,6.037367341562501,233.81299169921874,0.12288748836995553,8.715140875,280.413761138916,0.08001496323015353
82,2.0032936483593753,159.3941185836792,0.08458618614924844,2.01119468296875,159.6145654296875,0.12734971115630891,2.01463631109375,159.72708275604248,0.13648164436413454,2.7377153454687497,169.07683721160888,0.048525770691438035,5.7820111428125,235.02509936523438,0.12413956554622747,8.437446375,282.348158493042,0.08068093795414139
83,1.835600327421875,159.3907866897583,0.08374202756614398,1.8433274924999998,159.61900650787354,0.1352909312622016,1.84665892203125,159.73118856811524,0.13858275060008723,2.539022898515625,169.06979146575927,0.04736218478476679,5.535738004062501,236.2534121017456,0.12538526188094615,8.168059187499999,284.3070742797852,0.08131112313820603
84,1.6781824575781248,159.38918800354003,0.08262458348448644,1.6857210962500002,159.6230499420166,0.1424473104257892,1.68894024484375,159.7359282989502,0.14095371745146,2.35084819375,169.0631579437256,0.046684800258159846,5.298278411875001,237.49431561279297,0.12662384624600753,7.90672690625,286.2891798706055,0.08190313093636588
85,1.53065332640625,159.38885890960694,0.08150048645795092,1.5379892816406249,159.627447265625,0.1489117252951668,1.54109420640625,159.7416801147461,0.14419464125852002,2.172849271171875,169.05745375061036,0.04649397376394257,5.0693747810937495,238.74604662322997,0.12786532133918393,7.653210906249999,288.2932997131348,0.08245524203898537
