level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
50,15.529746543575003,3.3229390687618644e-09,3.413238398990963e-08,15.529518164193753,1.8859366004636908e-08,2.704922387590302e-08,15.54028648603125,1.0590897304229784e-07,7.213124167335236e-08
51,14.786322182531249,1.2319102583322537e-08,3.8226009149152206e-08,14.786107523931248,3.1478593499783895e-08,3.2235144879010363e-08,14.796769093218748,1.8081665862125767e-07,1.1871051398615001e-07
52,14.06867449935,2.435943162198638e-08,4.840156886531596e-08,14.068474925150001,4.786331501409013e-08,4.309045775532697e-08,14.079034874625002,2.531016176026561e-07,1.6443679575510544e-07
53,13.37626092488125,4.062771361164232e-08,6.687044683990038e-08,13.37607805276875,6.770992644892624e-08,5.836679912742046e-08,13.386546708481251,3.089286010721827e-07,1.9601914021224023e-07
54,12.708543018050001,6.105299929071873e-08,9.568439426658308e-08,12.708378699531252,8.828645796928351e-08,7.601397934377613e-08,12.718769020075001,3.277519471006718e-07,2.0109187988204166e-07
55,12.064986584537497,8.721898816758849e-08,1.3455341006346075e-07,12.0648426248875,1.1197869315149723e-07,9.709307151797118e-08,12.075166312412499,2.7459044659992835e-07,1.7474606435350916e-07
56,11.445061812475,1.100664636856284e-07,1.816323608040037e-07,11.444940101512499,1.693695220713713e-07,1.582930665280814e-07,11.455201017131252,9.02465719900978e-08,1.8278240750762454e-07
57,10.848242770906252,1.1669929066293322e-07,2.267735532696102e-07,10.8481492380375,3.879402601547861e-07,4.041005199331985e-07,10.85833066309375,-2.411659211722082e-07,3.1745844697328195e-07
58,10.274006894846872,7.334352107835475e-08,3.0833302492264167e-07,10.273967855918748,9.511687851769818e-07,9.416673111654033e-07,10.284010981815625,-4.4261514245630457e-07,4.241238710858436e-07
59,9.721834161581251,9.403192644859089e-08,5.507805680354592e-07,9.721933362203124,1.8255579531721294e-06,1.4351125258102199e-06,9.731724166290626,3.4262902613030983e-07,6.483071645934054e-07
60,9.19121918725,6.033485489223681e-07,1.305451132613561e-06,9.191635505981248,2.598367309559933e-06,1.8947899866580605e-06,9.201054979490625,2.5731000791512635e-06,1.4256929482838687e-06
61,8.681709074365624,2.760640029952065e-06,2.2851068851732803e-06,8.682690592203125,2.9861933878448922e-06,2.049130212082708e-06,8.691740064743751,4.801889302453405e-06,1.6196723580472573e-06
62,8.193020734768751,5.155771472107293e-06,4.4787420810179305e-06,8.19469059503125,2.155240091363423e-06,3.51785994948823e-06,8.203532576425,4.025388291645248e-06,2.730361713715962e-06
63,7.725021874315624,3.394696249221665e-06,4.8380871037504346e-06,7.7271344351875,-1.9373004941830348e-07,4.360347502620144e-06,7.735906679771875,3.4032127799432043e-07,2.7612215764493254e-06
