pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
2.18547893e+00,1.99188899e+02,2.70382585e+06,1.08153034e+07,6.75956462e+07,2.70382585e+08,4.80990059e+01,1.92396024e+02,1.20247515e+03,4.80990059e+03,2.18547893e+00,3.61269683e+06,4.81692800e-01
2.00689132e+00,1.94384052e+02,5.67756843e+06,2.27102737e+07,1.41939211e+08,5.67756843e+08,6.82574982e+01,2.73029993e+02,1.70643746e+03,6.82574982e+03,2.00689132e+00,1.57537337e+07,6.83812315e-01
1.83897793e+00,1.89577816e+02,1.23934305e+07,4.95737222e+07,3.09835764e+08,1.23934305e+09,1.08685212e+02,4.34740848e+02,2.71713030e+03,1.08685212e+04,1.83897793e+00,4.97725728e+07,1.08974853e+00
1.68134138e+00,1.84772940e+02,2.81961548e+07,1.12784619e+08,7.04903869e+08,2.81961548e+09,1.77555610e+02,7.10222442e+02,4.43889026e+03,1.77555610e+04,1.68134138e+00,1.36837213e+08,1.78285653e+00
1.53359414e+00,1.79970287e+02,6.70702895e+07,2.68281158e+08,1.67675724e+09,6.70702895e+09,2.98199007e+02,1.19279603e+03,7.45497517e+03,2.98199007e+04,1.53359414e+00,4.25058594e+08,3.00165466e+00
1.39535586e+00,1.75170140e+02,1.67408298e+08,6.69633194e+08,4.18520746e+09,1.67408298e+10,5.16023633e+02,2.06409453e+03,1.29005908e+04,5.16023633e+04,1.39535586e+00,2.01506875e+09,5.21621581e+00
1.26625158e+00,1.70372394e+02,4.40252680e+08,1.76101072e+09,1.10063170e+10,4.40252680e+10,9.22440336e+02,3.68976134e+03,2.30610084e+04,9.22440336e+04,1.26625158e+00,1.15116629e+10,9.39511041e+00
1.14591097e+00,1.65576675e+02,1.22548536e+09,4.90194143e+09,3.06371339e+10,1.22548536e+11,1.70832830e+03,6.83331318e+03,4.27082074e+04,1.70832830e+05,1.14591097e+00,5.47540110e+10,1.76442443e+01
1.03396868e+00,1.60782386e+02,3.62963278e+09,1.45185311e+10,9.07408196e+10,3.62963278e+11,3.28847387e+03,1.31538955e+04,8.22118467e+04,3.28847387e+05,1.03396868e+00,1.73528138e+11,3.48661640e+01
9.30064439e-01,1.55990055e+02,1.15026467e+10,4.60105869e+10,2.87566168e+11,1.15026467e+12,6.60298970e+03,2.64119588e+04,1.65074742e+05,6.60298970e+05,9.30064439e-01,5.27593203e+11,7.37436330e+01
8.33842878e-01,1.51198707e+02,3.92661038e+10,1.57064415e+11,9.81652596e+11,3.92661038e+12,1.38879355e+04,5.55517422e+04,3.47198389e+05,1.38879355e+06,8.33842878e-01,1.70291752e+12,1.73092599e+02
7.44954123e-01,1.46410603e+02,1.45353360e+11,5.81413439e+11,3.63383400e+12,1.45353360e+13,3.07271343e+04,1.22908537e+05,7.68178358e+05,3.07271343e+06,7.44954123e-01,5.91711613e+12,4.97668683e+02
6.63054129e-01,1.41625875e+02,5.88239021e+11,2.35295608e+12,1.47059755e+13,5.88239021e+13,7.18826764e+04,2.87530706e+05,1.79706691e+06,7.18826764e+06,6.63054129e-01,2.26512378e+13,2.39615285e+03
5.87806596e-01,1.36854491e+02,2.61843313e+12,1.04737325e+13,6.54608282e+13,2.61843313e+14,1.78500665e+05,7.14002662e+05,4.46251663e+06,1.78500665e+07,5.87806596e-01,9.70403238e+13,4.14473521e+04
5.18873412e-01,1.32063155e+02,1.30987928e+13,5.23951710e+13,3.27469819e+14,1.30987928e+15,4.76834886e+05,1.90733954e+06,1.19208722e+07,4.76834886e+07,5.18873412e-01,4.83573804e+14,1.65817345e+06
4.55916905e-01,1.27258810e+02,7.44885119e+13,2.97954047e+14,1.86221280e+15,7.44885119e+15,1.38027820e+06,5.52111281e+06,3.45069550e+07,1.38027820e+08,4.55916905e-01,2.98913080e+15,5.51711177e+07
3.98610472e-01,1.22448748e+02,4.87714400e+14,1.95085760e+15,1.21928600e+16,4.87714400e+16,4.36483346e+06,1.74593339e+07,1.09120837e+08,4.36483346e+08,3.98610472e-01,2.61328300e+16,3.05616434e+08
3.46662625e-01,1.17757387e+02,3.54278225e+15,1.41711290e+16,8.85695564e+16,3.54278225e+17,1.47437708e+07,5.89750834e+07,3.68594271e+08,1.47437708e+09,3.46662625e-01,3.67174018e+17,1.82613597e+09
2.99942986e-01,1.13914688e+02,2.03417212e+16,8.13668849e+16,5.08543031e+17,2.03417212e+18,4.31862696e+07,1.72745078e+08,1.07965674e+09,4.31862696e+09,2.99942986e-01,3.25464024e+18,1.60957360e+10
